District,Village
Anugul  ,Dayanidhipur
Anugul  ,Dayanidhipur
Anugul  ,Dayanidhipur
Anugul  ,Debadhipada
Anugul  ,Debadhipur (Debadhipiri)
Anugul  ,Debahali
Anugul  ,Debahali
Anugul  ,Debalayapur
Anugul  ,Deberapali
Anugul  ,Deberapali
Anugul  ,Debhuin
Anugul  ,Debipatanpur
Anugul  ,Dehuribhuin
Anugul  ,Dekurud
Anugul  ,Denali
Anugul  ,Depur
Anugul  ,Dera Colliery Township (CT)
Anugul  ,Deragola
Anugul  ,Derang
Anugul  ,Derjanga
Anugul  ,Derjangjungle
Anugul  ,Deulabeda
Anugul  ,Deuli
Anugul  ,Deuria jharan
Anugul  ,Dhandatopa
Anugul  ,Dhangurumunda
Anugul  ,Dhanukhola
Anugul  ,Dharamapur
Anugul  ,Dhatukibahal
Anugul  ,Dhaura khaman
Anugul  ,Dhauragoth
Anugul  ,Dhauragoth
Anugul  ,Dhaurakhaman
Anugul  ,Dhaurapali
Anugul  ,Dhobapal
Anugul  ,Dhobapal
Anugul  ,Dhodakhola
Anugul  ,Dhokata
Anugul  ,Dholagandia
Anugul  ,Dhuduripali
Anugul  ,Dhudurupal
Anugul  ,Dhulianali
Anugul  ,Dhuliapada
Anugul  ,Dhundi
Anugul  ,Dhusarapada
Anugul  ,Diajharan
Anugul  ,Digi(part)
Anugul  ,Digipadar
Anugul  ,Dimiria
Anugul  ,Dimiridihi
Anugul  ,Dimirimunda
Anugul  ,Dimirinali
Anugul  ,Dimirinali
Anugul  ,Dimiripal
Anugul  ,Dinabandhupur
Anugul  ,Dinabandhupur
Anugul  ,Dohali
Anugul  ,Dolamundei
Anugul  ,Duarabandha
Anugul  ,Dubanali
Anugul  ,Dudhiabeda
Anugul  ,Dudhianali(Bada)
Anugul  ,Dudhianalisana
Anugul  ,Dudipani
Anugul  ,Dudum
Anugul  ,Duipani
Anugul  ,Dulhabpur
Anugul  ,Dumuduma
Anugul  ,Durgaprasadpur
Anugul  ,Durgapur
Anugul  ,Durgapur
Anugul  ,Durgapur(Tangirisahi)
Anugul  ,Durgapurpansahi
Anugul  ,Dwaripur
Anugul  ,Dwitikrishnapur
Anugul  ,Dwitikrishnapur
Anugul  ,Ekadal
Anugul  ,Ekadashipur
Anugul  ,Ekagharia
Anugul  ,Ekagharia
Anugul  ,Ekanatal
Anugul  ,F.C.I. Township (CT)
Anugul  ,Fakirpur
Anugul  ,Fasihatjungle
Anugul  ,Fasipal
Anugul  ,Firingibahal
Anugul  ,Fulajhari
Anugul  ,Fulapada
Anugul  ,Fulpal
Anugul  ,Gadadharpur
Anugul  ,Gadaghumura
Anugul  ,Gadakhol Mundia
